Id;Nom_Fichier;Site_Web;Date_Creation;Date_Modification;Date_ingestion;Taille_Fichier
1;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;228712 KO
2;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;227122 KO
3;13725-INFO-SOC-GLASSDOOR-E10842_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;227870 KO
4;13649-INFO-SOC-GLASSDOOR-E2548_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;233438 KO
5;13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;198288 KO
6;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;219147 KO
7;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;224964 KO
8;13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;221869 KO
9;13641-INFO-SOC-GLASSDOOR-E28187_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;230119 KO
10;13706-INFO-SOC-GLASSDOOR-E19928_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;218765 KO
11;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;215005 KO
12;13660-INFO-SOC-GLASSDOOR-E26056_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;223340 KO
13;13645-INFO-SOC-GLASSDOOR-E14590_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;229505 KO
14;13624-INFO-SOC-GLASSDOOR-E397805_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;226388 KO
15;.DS_Store;2023-04-15 13:58:58;2023-04-15 13:58:58;2023-04-15 14:17:16;6148 KO
16;13603-INFO-SOC-GLASSDOOR-E5772_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;224739 KO
17;13800-INFO-SOC-GLASSDOOR-E1443740_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;209339 KO
18;13809-INFO-SOC-GLASSDOOR-E413452_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;224760 KO
19;13606-INFO-SOC-GLASSDOOR-E31197_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;225826 KO
20;13570-INFO-SOC-GLASSDOOR-E1394648_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;216465 KO
21;13640-INFO-SOC-GLASSDOOR-E427636_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;220120 KO
22;13761-INFO-SOC-GLASSDOOR-E1366034_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;216087 KO
23;13689-INFO-SOC-GLASSDOOR-E2098670_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;199612 KO
24;13701-INFO-SOC-GLASSDOOR-E1132974_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;212472 KO
25;13598-INFO-SOC-GLASSDOOR-E1363502_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;191449 KO
26;13760-INFO-SOC-GLASSDOOR-E1194086_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;211662 KO
27;13550-INFO-SOC-GLASSDOOR-E10686_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;219017 KO
28;13633-INFO-SOC-GLASSDOOR-E672181_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;214629 KO
29;13600-INFO-SOC-GLASSDOOR-E541990_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;197832 KO
30;13704-INFO-SOC-GLASSDOOR-E9347_P1.html;GLASSDOOR;2023-04-15 14:02:38;2023-04-15 14:02:38;2023-04-15 14:17:16;230202 KO
