id_Entreprise;Nom_Fichier;Nom_Entreprise;Site_Web;Siege_social;Secteur;Annee_Creation
1;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;Bayer;www.career.bayer.com;Leverkusen (Allemagne);Biotechnologies et pharmaceutique;None
2;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;Atos-Syntel;www.atos-syntel.net;Troy;MI (√\x89tats-Unis);Services informatiques;None
3;13725-INFO-SOC-GLASSDOOR-E10842_P1.html;Plastic Omnium;www.plasticomnium.com;Plus de 10 000 employ√©s;" Fabrication d√©quipement de transport";None
4;13649-INFO-SOC-GLASSDOOR-E2548_P1.html;Manpower;www.manpower.com;Uxbridge;Angleterre (Royaume-Uni);Recrutement et sous-traitance;None
5;13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;Artefacts Studio;www.artefacts-studio.fr;Villeurbanne;Inconnu;None
6;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;Thales-Raytheon Systems;www.thalesraytheon.com;Fullerton;CA (√\x89tats-Unis);Gestion des transports;None
7;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;Datadog;www.datadoghq.com;New York;NY (√\x89tats-Unis);Mat√©riel et logiciels informatiques;None
8;13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;Smile Group;www.smile.eu;Asni√®res-sur-Seine;Services informatiques;None
9;13641-INFO-SOC-GLASSDOOR-E28187_P1.html;Altran North America;northamerica.altran.com;New York;NY (√\x89tats-Unis);Services de t√©l√©communications;None
10;13706-INFO-SOC-GLASSDOOR-E19928_P1.html;Merial;www.merial.com;Harlow;Angleterre (Royaume-Uni);Fabrication de produits grand public;None
11;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;Expertime;www.expertime.com;Viroflay;Services informatiques;None
12;13660-INFO-SOC-GLASSDOOR-E26056_P1.html;Groupe SII;www.groupe-sii.com;Paris;Services informatiques;None
13;13645-INFO-SOC-GLASSDOOR-E14590_P1.html;Sephora;jobs.sephora.com;San Francisco;CA (√\x89tats-Unis);" Salons de beaut√© et magasins daccessoires";None
14;13624-INFO-SOC-GLASSDOOR-E397805_P1.html;STM;www.stm.info/fr/emploi;Montr√©al;QC (Canada);Secteur ferroviaire;None
